Date,open,high,low,close,volume
2024-07-30 00:00:00+00:00,98.61,98.95,98.61,98.84,371
2024-07-31 00:00:00+00:00,99.56,100.099998,99.56,99.65,279
2024-08-01 00:00:00+00:00,99.85,99.85,98.49,98.49,50
2024-08-02 00:00:00+00:00,97.72,97.72,96.19,96.19,367
2024-08-05 00:00:00+00:00,93.99,94.019997,93.2,93.56,3378
2024-08-06 00:00:00+00:00,94.31,94.31,93.28,93.66,80
2024-08-07 00:00:00+00:00,94.31,95.52,94.31,95.49,989
2024-08-08 00:00:00+00:00,92.64,93.68,92.36,93.68,30
2024-08-09 00:00:00+00:00,93.85,94.17,93.85,94.17,1
2024-08-12 00:00:00+00:00,94.49,94.63,94.33,94.52,1067
2024-08-13 00:00:00+00:00,95.019997,95.019997,94.55,94.98,611
2024-08-14 00:00:00+00:00,95.29,95.29,94.79,94.99,110
2024-08-15 00:00:00+00:00,95.56,96.55,95.56,96.55,0
2024-08-16 00:00:00+00:00,96.64,96.64,96.23,96.35,228
2024-08-19 00:00:00+00:00,96.21,96.97,96.2,96.97,115
2024-08-20 00:00:00+00:00,96.68,96.68,95.83,95.83,11
2024-08-21 00:00:00+00:00,95.9,96.040001,95.8,96.040001,176
2024-08-22 00:00:00+00:00,96.33,96.71,96.22,96.41,287
2024-08-23 00:00:00+00:00,96.74,97.24,96.74,97.24,32727
2024-08-26 00:00:00+00:00,97.22,97.33,97.22,97.27,0
2024-08-27 00:00:00+00:00,97.66,98.07,97.66,97.79,2656
2024-08-28 00:00:00+00:00,97.9,97.9,97.79,97.79,20
2024-08-29 00:00:00+00:00,98.029999,98.5,98.029999,98.41,12
2024-08-30 00:00:00+00:00,98.86,98.86,98.24,98.24,0
2024-09-02 00:00:00+00:00,98.31,98.31,98.12,98.15,258
2024-09-03 00:00:00+00:00,98.37,98.37,97.19,97.27,21
2024-09-04 00:00:00+00:00,96.53,96.93,96.53,96.93,1
2024-09-05 00:00:00+00:00,96.86,97.07,96.86,96.89,524
2024-09-06 00:00:00+00:00,96.38,96.76,95.65,95.65,39
2024-09-09 00:00:00+00:00,96.36,96.49,96.36,96.49,7
2024-09-10 00:00:00+00:00,96.19,96.66,96.15,96.21,122
2024-09-11 00:00:00+00:00,96.3,96.3,96.15,96.15,0
2024-09-12 00:00:00+00:00,97.26,97.26,96.38,96.38,98
2024-09-13 00:00:00+00:00,96.75,96.98,96.57,96.98,9
2024-09-16 00:00:00+00:00,96.68,97.19,96.68,97.13,81
2024-09-17 00:00:00+00:00,97.97,97.97,97.44,97.44,258
2024-09-18 00:00:00+00:00,97.29,97.29,96.94,96.95,35
2024-09-19 00:00:00+00:00,97.96,98.16,97.92,98.16,276
2024-09-20 00:00:00+00:00,97.72,97.81,97.0,97.0,1577
2024-09-23 00:00:00+00:00,97.0,97.97,97.0,97.97,636
2024-09-24 00:00:00+00:00,98.7,98.7,98.3,98.3,14
2024-09-25 00:00:00+00:00,97.69,98.23,97.69,97.89,61
2024-09-26 00:00:00+00:00,98.56,98.58,98.25,98.44,1243
2024-09-27 00:00:00+00:00,98.68,98.94,98.68,98.92,30
2024-09-30 00:00:00+00:00,98.7,98.8,98.13,98.13,1227
2024-10-01 00:00:00+00:00,98.089996,98.63,98.089996,98.36,61
2024-10-02 00:00:00+00:00,98.95,98.95,98.43,98.62,11
2024-10-03 00:00:00+00:00,98.23,98.23,97.59,97.59,301
2024-10-04 00:00:00+00:00,97.56,98.019997,97.43,98.019997,42
2024-10-07 00:00:00+00:00,98.33,98.34,97.97,98.019997,1
2024-10-08 00:00:00+00:00,96.96,97.059998,96.81,96.81,141
2024-10-09 00:00:00+00:00,97.089996,97.54,97.0,97.54,221
2024-10-10 00:00:00+00:00,97.95,97.95,97.45,97.46,334
2024-10-11 00:00:00+00:00,97.3,97.65,97.3,97.65,403
2024-10-14 00:00:00+00:00,97.6,98.2,97.6,98.17,125
2024-10-15 00:00:00+00:00,98.43,98.43,98.07,98.19,8
2024-10-16 00:00:00+00:00,98.43,98.74,98.19,98.74,170
2024-10-17 00:00:00+00:00,98.81,99.85,98.81,99.85,342
2024-10-18 00:00:00+00:00,99.72,99.9,99.2,99.44,92
2024-10-21 00:00:00+00:00,99.58,99.6,98.99,98.99,107
2024-10-22 00:00:00+00:00,98.79,98.87,98.74,98.87,0
2024-10-23 00:00:00+00:00,98.95,98.95,98.28,98.28,678
