Date,Open,High,Low,Close,adjusted_close,Volume
1982-06-30 22:00:00+00:00,5.8,5.8,5.8,5.8,5.8,20
1982-07-01 22:00:00+00:00,5.94,5.94,5.94,5.94,5.94,0
1982-07-05 22:00:00+00:00,5.76,5.76,5.76,5.76,5.76,0
1982-07-06 22:00:00+00:00,5.57,5.57,5.57,5.57,5.57,0
1982-07-07 22:00:00+00:00,5.93,5.93,5.93,5.93,5.93,0
1982-07-08 22:00:00+00:00,6.24,6.24,6.24,6.24,6.24,0
1982-07-11 22:00:00+00:00,6.3,6.3,6.3,6.3,6.3,0
1982-07-12 22:00:00+00:00,6.45,6.45,6.45,6.45,6.45,0
1982-07-13 22:00:00+00:00,6.47,6.47,6.47,6.47,6.47,0
1982-07-14 22:00:00+00:00,6.49,6.49,6.49,6.49,6.49,0
1982-07-15 22:00:00+00:00,6.4,6.4,6.4,6.4,6.4,0
1982-07-18 22:00:00+00:00,6.51,6.51,6.51,6.51,6.51,0
1982-07-19 22:00:00+00:00,6.77,6.77,6.77,6.77,6.77,0
1982-07-20 22:00:00+00:00,7.21,7.21,7.21,7.21,7.21,0
1982-07-21 22:00:00+00:00,6.92,6.92,6.92,6.92,6.92,0
1982-07-22 22:00:00+00:00,7.21,7.21,7.21,7.21,7.21,0
1982-07-25 22:00:00+00:00,7.2,7.2,7.2,7.2,7.2,0
1982-07-26 22:00:00+00:00,7.31,7.31,7.31,7.31,7.31,0
1982-07-27 22:00:00+00:00,6.95,6.95,6.95,6.95,6.95,0
1982-07-28 22:00:00+00:00,6.45,6.45,6.45,6.45,6.45,0
1982-07-29 22:00:00+00:00,6.56,6.56,6.56,6.56,6.56,0
1982-08-01 22:00:00+00:00,6.93,6.93,6.93,6.93,6.93,0
1982-08-02 22:00:00+00:00,6.97,6.97,6.97,6.97,6.97,0
1982-08-03 22:00:00+00:00,6.88,6.88,6.88,6.88,6.88,0
1982-08-04 22:00:00+00:00,6.89,6.89,6.89,6.89,6.89,0
1982-08-05 22:00:00+00:00,6.89,6.89,6.89,6.89,6.89,0
1982-08-08 22:00:00+00:00,6.51,6.51,6.51,6.51,6.51,0
1982-08-09 22:00:00+00:00,6.38,6.38,6.38,6.38,6.38,0
1982-08-10 22:00:00+00:00,6.22,6.22,6.22,6.22,6.22,0
1982-08-11 22:00:00+00:00,6.29,6.29,6.29,6.29,6.29,0
1982-08-12 22:00:00+00:00,6.41,6.41,6.41,6.41,6.41,0
1982-08-15 22:00:00+00:00,6.53,6.53,6.53,6.53,6.53,0
1982-08-16 22:00:00+00:00,6.43,6.43,6.43,6.43,6.43,0
1982-08-17 22:00:00+00:00,7.03,7.03,7.03,7.03,7.03,0
1982-08-18 22:00:00+00:00,6.94,6.94,6.94,6.94,6.94,0
1982-08-19 22:00:00+00:00,7.68,7.68,7.68,7.68,7.68,0
1982-08-22 22:00:00+00:00,8.0,8.0,8.0,8.0,8.0,0
1982-08-23 22:00:00+00:00,8.31,8.31,8.31,8.31,8.31,0
1982-08-24 22:00:00+00:00,7.78,7.78,7.78,7.78,7.78,0
1982-08-25 22:00:00+00:00,8.18,8.18,8.18,8.18,8.18,0
1982-08-26 22:00:00+00:00,8.06,8.06,8.06,8.06,8.06,0
1982-08-29 22:00:00+00:00,7.72,7.72,7.72,7.72,7.72,0
1982-08-30 22:00:00+00:00,7.97,7.97,7.97,7.97,7.97,0
1982-08-31 22:00:00+00:00,7.64,7.64,7.64,7.64,7.64,0
1982-09-01 22:00:00+00:00,7.97,7.97,7.97,7.97,7.97,0
1982-09-02 22:00:00+00:00,8.78,8.78,8.78,8.78,8.78,0
1982-09-06 22:00:00+00:00,9.15,9.15,9.15,9.15,9.15,0
1982-09-07 22:00:00+00:00,8.82,8.82,8.82,8.82,8.82,0
1982-09-08 22:00:00+00:00,9.31,9.31,9.31,9.31,9.31,0
1982-09-09 22:00:00+00:00,8.99,8.99,8.99,8.99,8.99,0
1982-09-12 22:00:00+00:00,8.88,8.88,8.88,8.88,8.88,0
1982-09-13 22:00:00+00:00,9.19,9.19,9.19,9.19,9.19,0
1982-09-14 22:00:00+00:00,8.92,8.92,8.92,8.92,8.92,0
1982-09-15 22:00:00+00:00,9.12,9.12,9.12,9.12,9.12,0
1982-09-16 22:00:00+00:00,9.02,9.02,9.02,9.02,9.02,0
1982-09-19 22:00:00+00:00,8.65,8.65,8.65,8.65,8.65,0
