Date,Open,High,Low,Close,adjusted_close,Volume
1950-01-01 23:00:00+00:00,199.39,200.91,198.97,200.52,200.52,0
1950-01-02 23:00:00+00:00,198.89,198.89,198.89,198.89,198.89,0
1950-01-03 23:00:00+00:00,200.2,200.2,200.2,200.2,200.2,0
1950-01-04 23:00:00+00:00,200.57,200.57,200.57,200.57,200.57,0
1950-01-05 23:00:00+00:00,200.96,200.96,200.96,200.96,200.96,0
1950-01-06 23:00:00+00:00,201.94,201.94,201.94,201.94,201.94,0
1950-01-08 23:00:00+00:00,201.98,201.98,201.98,201.98,201.98,0
1950-01-09 23:00:00+00:00,201.17,201.17,201.17,201.17,201.17,0
1950-01-10 23:00:00+00:00,201.61,201.61,201.61,201.61,201.61,0
1950-01-11 23:00:00+00:00,197.93,197.93,197.93,197.93,197.93,0
1950-01-12 23:00:00+00:00,196.81,196.81,196.81,196.81,196.81,0
1950-01-13 23:00:00+00:00,196.92,196.92,196.92,196.92,196.92,0
1950-01-15 23:00:00+00:00,197.17,197.17,197.17,197.17,197.17,0
1950-01-16 23:00:00+00:00,198.78,198.78,198.78,198.78,198.78,0
1950-01-17 23:00:00+00:00,199.5,199.5,199.5,199.5,199.5,0
1950-01-18 23:00:00+00:00,199.8,199.8,199.8,199.8,199.8,0
1950-01-19 23:00:00+00:00,200.13,200.13,200.13,200.13,200.13,0
1950-01-20 23:00:00+00:00,200.97,200.97,200.97,200.97,200.97,0
1950-01-22 23:00:00+00:00,200.42,200.42,200.42,200.42,200.42,0
1950-01-23 23:00:00+00:00,199.62,199.62,199.62,199.62,199.62,0
1950-01-24 23:00:00+00:00,198.39,198.39,198.39,198.39,198.39,0
1950-01-25 23:00:00+00:00,198.53,198.53,198.53,198.53,198.53,0
1950-01-26 23:00:00+00:00,199.08,199.08,199.08,199.08,199.08,0
1950-01-27 23:00:00+00:00,200.08,200.08,200.08,200.08,200.08,0
1950-01-29 23:00:00+00:00,201.39,201.39,201.39,201.39,201.39,0
1950-01-30 23:00:00+00:00,201.79,201.79,201.79,201.79,201.79,0
1950-01-31 23:00:00+00:00,201.89,201.89,201.89,201.89,201.89,0
1950-02-01 23:00:00+00:00,204.11,204.11,204.11,204.11,204.11,0
1950-02-02 23:00:00+00:00,204.53,204.53,204.53,204.53,204.53,0
1950-02-03 23:00:00+00:00,205.03,205.03,205.03,205.03,205.03,0
1950-02-05 23:00:00+00:00,204.59,204.59,204.59,204.59,204.59,0
1950-02-06 23:00:00+00:00,203.53,203.53,203.53,203.53,203.53,0
1950-02-07 23:00:00+00:00,202.71,202.71,202.71,202.71,202.71,0
1950-02-08 23:00:00+00:00,203.8,203.8,203.8,203.8,203.8,0
1950-02-09 23:00:00+00:00,203.49,203.49,203.49,203.49,203.49,0
1950-02-10 23:00:00+00:00,203.36,203.36,203.36,203.36,203.36,0
1950-02-12 23:00:00+00:00,203.8,204.87,202.69,203.49,203.49,0
1950-02-13 23:00:00+00:00,202.02,202.02,202.02,202.02,202.02,0
1950-02-14 23:00:00+00:00,201.93,201.93,201.93,201.93,201.93,0
1950-02-15 23:00:00+00:00,201.69,201.69,201.69,201.69,201.69,0
1950-02-16 23:00:00+00:00,203.17,203.17,203.17,203.17,203.17,0
1950-02-17 23:00:00+00:00,203.97,203.97,203.97,203.97,203.97,0
1950-02-19 23:00:00+00:00,203.47,203.47,203.47,203.47,203.47,0
1950-02-20 23:00:00+00:00,203.35,203.35,203.35,203.35,203.35,0
1950-02-21 23:00:00+00:00,203.47,203.93,202.55,203.35,203.35,0
1950-02-22 23:00:00+00:00,203.32,203.32,203.32,203.32,203.32,0
1950-02-23 23:00:00+00:00,204.15,204.15,204.15,204.15,204.15,0
1950-02-24 23:00:00+00:00,204.15,204.15,204.15,204.15,204.15,0
1950-02-26 23:00:00+00:00,204.33,204.33,204.33,204.33,204.33,0
1950-02-27 23:00:00+00:00,203.44,203.44,203.44,203.44,203.44,0
1950-02-28 23:00:00+00:00,203.62,203.62,203.62,203.62,203.62,0
1950-03-01 23:00:00+00:00,203.54,203.54,203.54,203.54,203.54,0
1950-03-02 23:00:00+00:00,204.48,204.48,204.48,204.48,204.48,0
1950-03-03 23:00:00+00:00,204.71,204.71,204.71,204.71,204.71,0
1950-03-05 23:00:00+00:00,204.88,204.88,204.88,204.88,204.88,0
1950-03-06 23:00:00+00:00,203.69,203.69,203.69,203.69,203.69,0
1950-03-07 23:00:00+00:00,203.71,203.71,203.71,203.71,203.71,0
1950-03-08 23:00:00+00:00,202.33,202.33,202.33,202.33,202.33,0
1950-03-09 23:00:00+00:00,202.44,202.44,202.44,202.44,202.44,0
1950-03-10 23:00:00+00:00,202.96,202.96,202.96,202.96,202.96,0
1950-03-12 23:00:00+00:00,203.09,203.09,203.09,203.09,203.09,0
1950-03-13 23:00:00+00:00,204.7,204.7,204.7,204.7,204.7,0
