date,country,event,impact,latest,forecast,previous
2025-09-05 23:00:00,CO,,,,4.7,
2025-09-05 23:00:00,CO,,,,0.2,
2025-09-05 17:00:00,US,,,,,
2025-09-05 16:30:00,CR,,,,0.3,0.52
2025-09-05 16:30:00,CR,,,,0.7,-0.61
2025-09-05 14:30:00,TR,,,,,-68.49
2025-09-05 14:00:00,BR,,,,-0.9,15.7
2025-09-05 14:00:00,EC,,,,,
2025-09-05 14:00:00,BR,,,,-0.4,
2025-09-05 14:00:00,CA,,,,52.0,55.8
2025-09-05 13:00:00,RU,,,,,681.5
2025-09-05 12:30:00,US,,,,-25.0,-10.0
2025-09-05 12:30:00,US,,,,-21.0,-11.0
2025-09-05 12:30:00,CA,,,,,
2025-09-05 12:30:00,US,,,,75.0,83.0
2025-09-05 12:30:00,CA,,,,,
2025-09-05 12:30:00,US,,,,62.1,62.2
2025-09-05 12:30:00,CA,,,,,
2025-09-05 12:30:00,CA,,,,,
2025-09-05 12:30:00,US,,,,34.3,34.3
2025-09-05 12:30:00,US,,,,0.3,0.3
2025-09-05 12:30:00,CA,,,,,
2025-09-05 12:30:00,CA,,,,,
2025-09-05 12:30:00,US,,,,3.9,3.9
2025-09-05 12:30:00,US,,,,4.2,4.2
2025-09-05 12:30:00,US,,,,50.0,73.0
2025-09-05 12:30:00,US,,,,7.9,7.9
2025-09-05 12:00:00,BR,,,,4.3,3.24
2025-09-05 12:00:00,PL,,,,,255.9
2025-09-05 12:00:00,BR,,,,-0.3,-1.25
2025-09-05 12:00:00,UA,,,,,
2025-09-05 11:30:00,IN,,,,,
2025-09-05 11:00:00,PH,,,,,
2025-09-05 10:00:00,IE,,,,,20.0
2025-09-05 10:00:00,IL,,,,,
2025-09-05 10:00:00,IE,,,,,7.4
2025-09-05 10:00:00,RS,,,,1.4,0.2
2025-09-05 10:00:00,MK,,,,,-329.0
2025-09-05 10:00:00,DE,,,,,
2025-09-05 10:00:00,IE,,,,36.0,5.8
2025-09-05 10:00:00,GH,,,,,
2025-09-05 10:00:00,IE,,,,,-3.9
2025-09-05 10:00:00,IE,,,,,-7.2
2025-09-05 10:00:00,MK,,,,11.1,11.7
2025-09-05 09:45:00,RU,,,,,
2025-09-05 09:30:00,MU,,,,,
2025-09-05 09:30:00,MU,,,,,
2025-09-05 09:00:00,UK,,,,6.8,6.99
2025-09-05 09:00:00,UG,,,,,
2025-09-05 09:00:00,UG,,,,,
